sistema;codigo;reservatorio;res_latitude;res_longitude;municipio;codigo_municipio_ibge;estado_nome;estado_sigla;rio;sub_bacia;bacia
nordeste_semiarido;12433;SERROTE;-7,77965100000000;-38,8813820000000;SÃO JOSÉ DO BELMONTE;2613503;Pernambuco;PE;RIO MULUNGU/BARROCAS;PAJEÚ;PAJEÚ
nordeste_semiarido;12434;SERROTE;-11,40851500000000;-40,3072450000000;SERROLÂNDIA;2930600;Bahia;BA;RIACHO SERROTE;ITAPICURU;ITAPICURU
nordeste_semiarido;12435;SERROTE;-7,92153300000000;-37,1015660000000;MONTEIRO;2509701;Paraíba;PB;RIACHO TAMBORIL;ALTO PARAÍBA;ALTO PARAÍBA
nordeste_semiarido;12436;SERTÃO DE BAIXO;-9,56809200000000;-36,9925100000000;MAJOR ISIDORO;2704401;Alagoas;AL;RIACHO DO CAVALOS;SÃO FRANCISCO;SÃO FRANCISCO
nordeste_semiarido;12437;SICUPEMA;-8,22106900000000;-35,0625990000000;CABO;2602902;Pernambuco;PE;RIO SICUPEMA;GL-2;GL-2
nordeste_semiarido;12438;SINDÔ RIBEIRO;-7,18225300000000;-35,7961400000000;MASSARANDUBA;2509206;Paraíba;PB;SEM RIO - SINDÔ RIBEIRO;MAMANGUAPE;MAMANGUAPE
nordeste_semiarido;12439;SIRIJI;-7,67101200000000;-35,4117230000000;VICÊNCIA;2616308;Pernambuco;PE;RIO SIRIGI;GOIANA;GOIANA
nordeste_semiarido;12440;SITIOS NOVOS;-3,77042200000000;-38,9612670000000;CAUCAIA;2303709;Ceará;CE;RIO SÃO GONÇALO;METROPOLITANA;METROPOLITANA
nordeste_semiarido;12441;SOBRAL;-3,65727900000000;-40,3654300000000;SOBRAL;2312908;Ceará;CE;RIACHO MATA FRESCA;ACARAÚ;ACARAÚ
nordeste_semiarido;12442;SOHEN;-10,36852400000000;-40,0962410000000;S. DO BONFIM;2930105;Bahia;BA;RIO JAGUARARI;ITAPICURU;ITAPICURU
nordeste_semiarido;12443;SOLEDADE;-7,06956300000000;-36,3463920000000;SOLEDADE;2516102;Paraíba;PB;RIACHO DO PADRE;TAPEROÁ;TAPEROÁ
nordeste_semiarido;12444;SOSSEGO;-5,79375000000000;-38,0726370000000;RODOLFO FERNANDES;2411007;Rio Grande do Norte;RN;RIACHO SOSSEGO;APODI/MOSSORÓ;APODI/MOSSORÓ
nordeste_semiarido;12445;SOUZA;-4,39261900000000;-39,2828520000000;CANINDÉ;2302800;Ceará;CE;RIACHO JURUTI;CURU;CURU
nordeste_semiarido;12446;SUCESSO;-4,95519900000000;-40,5247710000000;TAMBORIL;2313203;Ceará;CE;RIACHO CASIMIRO;PARNAÍBA;PARNAÍBA
nordeste_semiarido;12447;SUMÉ;-7,67200400000000;-36,8995190000000;SUMÉ;2516300;Paraíba;PB;RIO SUCURU;ALTO PARAÍBA;ALTO PARAÍBA
nordeste_semiarido;12448;SUSPIRO;-6,72580500000000;-35,4785740000000;SERRA DA RAIZ;2515609;Paraíba;PB;SEM RIO - SUSPIRO;CAMARATUBA;CAMARATUBA
nordeste_semiarido;12449;TAPACURÁ;-8,03714500000000;-35,1624920000000;SÃO LOURENÇO DA MATA;2613701;Pernambuco;PE;RIO TAPACURÁ;CAPIBARIBE;CAPIBARIBE
nordeste_semiarido;12450;TAPERA;-6,24238000000000;-37,4852520000000;BELÉM DO BREJO DA CRUZ;2502003;Paraíba;PB;RIACHO TAPERA;MÉDIO PIRANHAS;MÉDIO PIRANHAS
nordeste_semiarido;12451;TAPEROÁ II (MANOEL MARCIONILO);-7,20966700000000;-36,8394380000000;TAPEROÁ;2516508;Paraíba;PB;SEM RIO - TAPEROÁ;TAPEROÁ;TAPEROÁ
nordeste_semiarido;12452;TAQUARA;-8,30376700000000;-36,0447840000000;CARUARU;2604106;Pernambuco;PE;RIACHO TAQUARA;ACARAÚ;ACARAÚ
nordeste_semiarido;12453;TAQUARA;-3,89641300000000;-40,6113630000000;CARIRE;2303105;Ceará;CE;RIACHO TAQUARA;ACARAÚ;ACARAÚ
nordeste_semiarido;12454;TATAJUBA;-6,41601500000000;-39,0824690000000;ICÓ;2305407;Ceará;CE;RIO TATAJUBA;SALGADO;SALGADO
nordeste_semiarido;12455;TAUÁ;-6,90749800000000;-35,5385570000000;CUITEGI;2505204;Paraíba;PB;RIO TAUÁ;MAMANGUAPE;MAMANGUAPE
nordeste_semiarido;12456;TAVARES II;-7,59335800000000;-37,9124790000000;TAVARES;2516607;Paraíba;PB;RIACHO TAVARES;PIANCÓ;PIANCÓ
nordeste_semiarido;12457;TEJUÇUOCA;-3,97610200000000;-39,5064640000000;TEJUÇUOCA;2313351;Ceará;CE;RIO TEJUÇUOCA;CURU;CURU
nordeste_semiarido;12458;TESOURA;-6,08297700000000;-38,1242800000000;FRANCISCO DANTAS;2403905;Rio Grande do Norte;RN;RIACHO TESOURA;APODI/MOSSORÓ;APODI/MOSSORÓ
nordeste_semiarido;12459;THOMÁS OSTERNE;-7,09033100000000;-39,4866650000000;CRATO;2304202;Ceará;CE;RIO CORAS;SALGADO;SALGADO
nordeste_semiarido;12460;TIGRE;-5,88855600000000;-39,1537060000000;SOLONÓPOLE;2313005;Ceará;CE;RIO TIGRE;MÉDIO JAGUARIBE;MÉDIO JAGUARIBE
nordeste_semiarido;12461;TIJUQUINHA;-4,31782800000000;-38,8940570000000;BATURITÉ;2302107;Ceará;CE;RIO ARACOIABA;METROPOLITANA;METROPOLITANA
nordeste_semiarido;12462;TIMBAÚBA;-7,55519100000000;-37,8242890000000;JURU;2508000;Paraíba;PB;RIACHO BRANCO;PIANCÓ;PIANCÓ
